 LegendreIndex,FromIndex,ToIndex,Value
3,21,20,-8.7234749E-04
3,21,21, 8.7055937E-03
3,22,3, 7.8520759E-14
3,22,4, 3.4509803E-13
3,22,5, 1.3148072E-12
3,22,6, 4.4465833E-12
3,22,7, 1.4676779E-11
3,22,8, 4.3523552E-11
3,22,9, 1.3775352E-10
3,22,10, 4.3662088E-10
3,22,11, 1.3829737E-09
3,22,12, 4.3739151E-09
3,22,13, 1.3851115E-08
3,22,14, 4.3868866E-08
3,22,15, 1.3890593E-07
3,22,16, 4.5319198E-07
3,22,17, 1.8746629E-06
3,22,18, 6.2668225E-06
3,22,19, 2.2258259E-05
3,22,20, 5.0122138E-05
3,22,21, 1.8514665E-04
3,22,22, 1.4894200E-03
3,23,3, 6.1962999E-14
3,23,4, 2.8760892E-13
3,23,5, 1.3327274E-12
3,23,6, 5.2823326E-12
3,23,7, 1.7536407E-11
3,23,8, 5.5622274E-11
3,23,9, 1.7120212E-10
3,23,10, 5.4287434E-10
3,23,11, 1.7188558E-09
3,23,12, 5.4358227E-09
3,23,13, 1.7182929E-08
3,23,14, 5.4499395E-08
3,23,15, 1.7268799E-07
3,23,16, 5.6503894E-07
3,23,17, 2.3414102E-06
3,23,18, 7.6589096E-06
3,23,19, 2.1057160E-05
3,23,20, 3.7847348E-05
3,23,21, 3.1197531E-05
3,23,22,-6.9120944E-04
3,23,23, 2.6770250E-03
3,24,3, 5.1486817E-14
3,24,4, 2.3898240E-13
3,24,5, 1.1092559E-12
3,24,6, 5.0561676E-12
3,24,7, 1.7658185E-11
3,24,8, 5.7889205E-11
3,24,9, 1.7742985E-10
3,24,10, 5.6051377E-10
3,24,11, 1.7711162E-09
3,24,12, 5.6001904E-09
3,24,13, 1.7722705E-08
3,24,14, 5.6214700E-08
3,24,15, 1.7796881E-07
3,24,16, 6.0084257E-07
3,24,17, 2.5117349E-06
3,24,18, 8.2001270E-06
3,24,19, 2.1846261E-05
3,24,20, 3.6426955E-05
3,24,21, 2.5969517E-05
3,24,22, 1.1071520E-05
3,24,23, 4.0880107E-05
3,24,24, 2.9721863E-03
3,25,4, 1.6998736E-11
3,25,5, 3.7735119E-11
