 LegendreIndex,FromIndex,ToIndex,Value
2,23,20, 5.9321313E-03
2,23,21, 4.8899511E-03
2,23,22, 1.6717025E-03
2,23,23, 3.5011203E-02
2,24,3, 8.0420720E-12
2,24,4, 3.7444644E-11
2,24,5, 1.7380231E-10
2,24,6, 7.9226405E-10
2,24,7, 2.7681574E-09
2,24,8, 9.0750982E-09
2,24,9, 2.7815290E-08
2,24,10, 8.7870773E-08
2,24,11, 2.7765418E-07
2,24,12, 8.7793178E-07
2,24,13, 2.7783498E-06
2,24,14, 8.7852565E-06
2,24,15, 2.7805095E-05
2,24,16, 9.3967412E-05
2,24,17, 3.9290400E-04
2,24,18, 1.2832804E-03
2,24,19, 3.4207637E-03
2,24,20, 5.7078882E-03
2,24,21, 4.0735638E-03
2,24,22, 1.7389815E-03
2,24,23, 2.9665482E-04
2,24,24, 3.5859553E-02
2,25,4, 1.6998736E-11
2,25,5, 3.7735119E-11
2,25,6, 1.3056830E-10
2,25,7, 3.4788299E-10
2,25,8, 1.0290571E-09
2,25,9, 2.8474655E-09
2,25,10, 8.2531403E-09
2,25,11, 2.4601395E-08
2,25,12, 7.4669879E-08
2,25,13, 2.3072352E-07
2,25,14, 7.8402248E-07
2,25,15, 2.4844873E-06
2,25,16, 8.2981382E-06
2,25,17, 3.1630386E-05
2,25,18, 1.2441086E-04
2,25,19, 4.4908097E-04
2,25,20, 1.6129679E-03
2,25,21, 3.0588967E-03
2,25,22, 3.6878972E-03
2,25,23, 1.4016569E-03
2,25,24, 2.8057321E-04
2,25,25, 2.5750426E-02
3,1,1, 5.1098606E-05
3,2,1,-1.6867119E-04
3,2,2, 2.1962204E-04
3,3,2,-1.6854745E-04
3,3,3, 2.1943011E-04
3,4,3,-1.6845157E-04
3,4,4, 2.1929108E-04
3,5,4,-1.6914478E-04
3,5,5, 2.1996972E-04
3,6,5,-1.7385499E-04
3,6,6, 2.2464433E-04
3,7,6,-1.6259467E-04
3,7,7, 2.1338106E-04
3,8,7,-1.0346941E-04
3,8,8, 1.5418981E-04
3,9,8, 1.5975198E-05
3,9,9, 3.4642496E-05
3,10,9, 1.8669072E-05
3,10,10, 3.1921022E-05
3,11,10,-3.1462897E-05
3,11,11, 8.1581542E-05
3,12,11,-3.1536681E-05
3,12,12, 8.0791267E-05
3,13,12,-1.1197279E-04
3,13,13, 1.6000438E-04
3,14,13,-1.1210649E-04
3,14,14, 1.5893451E-04
3,15,5, 1.5431473E-13
3,15,6, 7.1487171E-13
3,15,7, 3.3125408E-12
3,15,8, 1.5339093E-11
3,15,9, 7.0895554E-11
3,15,10, 3.2609384E-10
3,15,11, 1.4856995E-09
3,15,12, 6.5743606E-09
3,15,13, 2.5187177E-08
3,15,14,-1.1960086E-04
3,15,15, 1.7293026E-04
3,16,4, 2.4037064E-11
3,16,5, 1.0817135E-10
3,16,6, 4.9378298E-10
3,16,7, 2.2701274E-09
3,16,8, 1.0500906E-08
3,16,9, 4.8583051E-08
3,16,10, 2.2473500E-07
3,16,11, 1.0366716E-06
3,16,12, 9.2176041E-07
3,16,14, 2.3309151E-08
3,16,15,-1.0358078E-04
3,16,16, 2.1586729E-04
3,17,1, 1.1665773E-13
3,17,2, 2.4461991E-13
3,17,3, 6.9231885E-13
3,17,4, 1.5616142E-12
3,17,5, 3.4310080E-12
3,17,6, 8.6743038E-12
3,17,7, 2.6621803E-11
3,17,8, 8.5514414E-11
3,17,9, 3.1373812E-10
3,17,10, 1.3080879E-09
3,17,11, 5.9543909E-09
3,17,12, 3.2192234E-06
3,17,13, 1.7856069E-05
3,17,14, 7.5531434E-05
3,17,15, 2.9325306E-04
3,17,16, 8.3294909E-04
3,17,17, 8.1133391E-04
3,18,6, 6.9006010E-13
3,18,7, 3.5876301E-12
3,18,8, 2.7622640E-11
3,18,9, 1.2920952E-10
3,18,10, 6.0134774E-10
3,18,11, 2.7906032E-09
3,18,12, 1.3577272E-08
3,18,13, 6.0010498E-08
3,18,14, 2.7701662E-07
3,18,15, 1.3122335E-06
3,18,16, 6.0413595E-06
3,18,17, 2.1312095E-03
3,18,18, 3.6396867E-03
3,19,6, 1.1132048E-13
3,19,7, 7.9312489E-13
3,19,8, 3.9225519E-12
3,19,9, 2.6785552E-11
3,19,10, 1.2439840E-10
3,19,11, 5.7665224E-10
3,19,12, 2.7959529E-09
3,19,13, 1.5353265E-08
3,19,14, 5.2051614E-08
3,19,15, 1.8183003E-07
3,19,16, 8.8721573E-07
3,19,17, 2.8007285E-05
3,19,18, 2.3809699E-03
3,19,19, 8.4805667E-03
3,20,3, 8.4199611E-14
3,20,4, 2.9271083E-13
3,20,5, 8.7475911E-12
3,20,6, 6.2512845E-11
3,20,7, 2.4537853E-10
3,20,8, 9.4109026E-10
3,20,9, 3.9517171E-09
3,20,10, 1.7389623E-08
3,20,11, 7.8319093E-08
3,20,12, 3.2653344E-07
3,20,13, 1.3600609E-06
3,20,14, 5.5082081E-06
3,20,15, 1.8431604E-05
3,20,16, 5.3362119E-05
3,20,17, 1.4235821E-04
3,20,18, 5.0972467E-05
3,20,19, 2.0885077E-03
3,20,20, 1.6573995E-02
3,21,3, 1.2444581E-13
3,21,4, 5.4295416E-13
3,21,5, 3.0187975E-11
3,21,6, 1.5759568E-10
3,21,7, 7.7836840E-10
3,21,8, 3.2119511E-09
3,21,9, 1.3924396E-08
3,21,10, 6.1996139E-08
3,21,11, 2.6497142E-07
3,21,12, 9.5875029E-07
3,21,13, 3.4102052E-06
3,21,14, 1.2325013E-05
3,21,15, 4.3747169E-05
3,21,16, 1.6173875E-04
3,21,17, 6.0876406E-04
3,21,18, 2.0893423E-03
3,21,19, 3.6026257E-03
3,21,20, 3.3076486E-03
3,21,21, 2.5014093E-02
3,22,3, 1.2332151E-11
3,22,4, 5.4216335E-11
3,22,5, 2.0677617E-10
3,22,6, 6.9967447E-10
3,22,7, 2.3093763E-09
3,22,8, 6.8482788E-09
3,22,9, 2.1674973E-08
3,22,10, 6.8700123E-08
3,22,11, 2.1760162E-07
3,22,12, 6.8820793E-07
3,22,13, 2.1793740E-06
3,22,14, 6.9024175E-06
3,22,15, 2.1855545E-05
3,22,16, 7.1289492E-05
3,22,17, 2.9440417E-04
3,22,18, 9.8311082E-04
3,22,19, 3.4883081E-03
3,22,20, 7.8509006E-03
3,22,21, 5.1563931E-03
3,22,22, 1.9323347E-02
3,23,3, 9.7259894E-12
3,23,4, 4.5144382E-11
3,23,5, 2.0919256E-10
3,23,6, 8.2961402E-10
3,23,7, 2.7548480E-09
3,23,8, 8.7379618E-09
3,23,9, 2.6894783E-08
3,23,10, 8.5281980E-08
3,23,11, 2.7001895E-07
3,23,12, 8.5392931E-07
3,23,13, 2.6993051E-06
3,23,14, 8.5613755E-06
3,23,15, 2.7127452E-05
3,23,16, 8.8744647E-05
3,23,17, 3.6726215E-04
3,23,18, 1.2004187E-03
3,23,19, 3.3000609E-03
3,23,20, 5.9321313E-03
3,23,21, 4.8899511E-03
3,23,22, 2.6135380E-03
3,23,23, 2.6894778E-02
3,24,3, 8.0420720E-12
3,24,4, 3.7444644E-11
3,24,5, 1.7380231E-10
3,24,6, 7.9226405E-10
3,24,7, 2.7681574E-09
3,24,8, 9.0750982E-09
3,24,9, 2.7815290E-08
3,24,10, 8.7870773E-08
3,24,11, 2.7765418E-07
3,24,12, 8.7793178E-07
3,24,13, 2.7783498E-06
3,24,14, 8.7852565E-06
3,24,15, 2.7805095E-05
3,24,16, 9.3967412E-05
3,24,17, 3.9290400E-04
3,24,18, 1.2832804E-03
3,24,19, 3.4207637E-03
3,24,20, 5.7078882E-03
3,24,21, 4.0735638E-03
3,24,22, 1.7389815E-03
3,24,23, 1.1334189E-03
3,24,24, 2.8387742E-02
3,25,4, 1.6998736E-11
3,25,5, 3.7735119E-11
3,25,6, 1.3056830E-10
3,25,7, 3.4788299E-10
3,25,8, 1.0290571E-09
3,25,9, 2.8474655E-09
3,25,10, 8.2531403E-09
3,25,11, 2.4601395E-08
3,25,12, 7.4669879E-08
3,25,13, 2.3072352E-07
3,25,14, 7.8402248E-07
3,25,15, 2.4844873E-06
3,25,16, 8.2981382E-06
3,25,17, 3.1630386E-05
3,25,18, 1.2441086E-04
3,25,19, 4.4908097E-04
3,25,20, 1.6129679E-03
3,25,21, 3.0588967E-03
3,25,22, 3.6878972E-03
3,25,23, 1.4016569E-03
3,25,24, 8.6953911E-04
3,25,25, 2.1477256E-02
4,2,1,-3.1606713E-06
4,2,2, 3.1606630E-06
4,3,2,-3.1742439E-06
4,3,3, 3.1742249E-06
4,4,3,-3.1715545E-06
4,4,4, 3.1715777E-06
4,5,4,-3.1725489E-06
4,5,5, 3.1745117E-06
4,6,5,-1.8960524E-06
4,6,6, 1.9012165E-06
4,7,6,-3.2529435E-06
4,7,7, 3.2625372E-06
4,8,7,-2.0263826E-06
4,8,8, 2.0458759E-06
4,9,8,-2.3487377E-06
4,9,9, 2.3845969E-06
4,10,9,-1.2290179E-07
4,10,10, 2.7053319E-07
4,11,10, 5.6962126E-07
4,11,11,-3.4541820E-07
4,12,11, 2.2539158E-07
4,12,12, 4.0246607E-08
4,13,12, 2.2677478E-05
4,13,13,-2.2501060E-05
4,14,13, 5.2270213E-06
4,14,14,-5.3389943E-06
4,15,5, 1.5431473E-13
4,15,6, 7.1487171E-13
4,15,7, 3.3125408E-12
4,15,8, 1.5339093E-11
4,15,9, 7.0895554E-11
4,15,10, 3.2609384E-10
4,15,11, 1.4856995E-09
4,15,12, 6.5743606E-09
4,15,13, 2.5187177E-08
4,15,14,-6.9718871E-06
4,15,15, 6.4327832E-06
4,16,4, 2.4037064E-11
4,16,5, 1.0817135E-10
4,16,6, 4.9378298E-10
4,16,7, 2.2701274E-09
4,16,8, 1.0500906E-08
4,16,9, 4.8583051E-08
4,16,10, 2.2473500E-07
4,16,11, 1.0366716E-06
4,16,12, 9.2176041E-07
4,16,14, 2.3309151E-08
4,16,15,-4.3451541E-07
4,16,16, 1.6447655E-06
4,17,1, 1.1665773E-13
4,17,2, 2.4461991E-13
4,17,3, 6.9231885E-13
4,17,4, 1.5616142E-12
4,17,5, 3.4310080E-12
4,17,6, 8.6743038E-12
4,17,7, 2.6621803E-11
4,17,8, 8.5514414E-11
4,17,9, 3.1373812E-10
4,17,10, 1.3080879E-09
4,17,11, 5.9543909E-09
4,17,12, 3.2192234E-06
4,17,13, 1.7856069E-05
4,17,14, 7.5531434E-05
4,17,15, 2.9325306E-04
4,17,16, 9.4346724E-04
4,17,17, 3.6082059E-04
4,18,6, 6.9006010E-13
4,18,7, 3.5876301E-12
4,18,8, 2.7622640E-11
4,18,9, 1.2920952E-10
4,18,10, 6.0134774E-10
4,18,11, 2.7906032E-09
4,18,12, 1.3577272E-08
4,18,13, 6.0010498E-08
4,18,14, 2.7701662E-07
4,18,15, 1.3122335E-06
4,18,16, 6.0413595E-06
4,18,17, 2.1801463E-03
4,18,18, 2.5583739E-03
4,19,6, 1.1132048E-13
4,19,7, 7.9312489E-13
4,19,8, 3.9225519E-12
4,19,9, 2.6785552E-11
4,19,10, 1.2439840E-10
4,19,11, 5.7665224E-10
4,19,12, 2.7959529E-09
4,19,13, 1.5353265E-08
4,19,14, 5.2051614E-08
4,19,15, 1.8183003E-07
4,19,16, 8.8721573E-07
4,19,17, 2.8007285E-05
4,19,18, 2.2296560E-03
4,19,19, 5.9248369E-03
4,20,3, 8.4199611E-14
4,20,4, 2.9271083E-13
4,20,5, 8.7475911E-12
4,20,6, 6.2512845E-11
4,20,7, 2.4537853E-10
4,20,8, 9.4109026E-10
4,20,9, 3.9517171E-09
4,20,10, 1.7389623E-08
4,20,11, 7.8319093E-08
4,20,12, 3.2653344E-07
4,20,13, 1.3600609E-06
4,20,14, 5.5082081E-06
4,20,15, 1.8431604E-05
4,20,16, 5.3362119E-05
4,20,17, 1.4235821E-04
4,20,18, 5.0972467E-05
4,20,19, 1.8935957E-03
4,20,20, 1.0232038E-02
4,21,3, 1.2444581E-13
4,21,4, 5.4295416E-13
4,21,5, 3.0187975E-11
4,21,6, 1.5759568E-10
4,21,7, 7.7836840E-10
4,21,8, 3.2119511E-09
4,21,9, 1.3924396E-08
4,21,10, 6.1996139E-08
4,21,11, 2.6497142E-07
4,21,12, 9.5875029E-07
4,21,13, 3.4102052E-06
4,21,14, 1.2325013E-05
4,21,15, 4.3747169E-05
4,21,16, 1.6173875E-04
4,21,17, 6.0876406E-04
4,21,18, 2.0893423E-03
4,21,19, 3.6026257E-03
4,21,20, 3.0896610E-03
4,21,21, 1.4060917E-02
4,22,3, 1.2332151E-11
4,22,4, 5.4216335E-11
4,22,5, 2.0677617E-10
4,22,6, 6.9967447E-10
4,22,7, 2.3093763E-09
4,22,8, 6.8482788E-09
4,22,9, 2.1674973E-08
4,22,10, 6.8700123E-08
4,22,11, 2.1760162E-07
4,22,12, 6.8820793E-07
4,22,13, 2.1793740E-06
4,22,14, 6.9024175E-06
4,22,15, 2.1855545E-05
4,22,16, 7.1289492E-05
4,22,17, 2.9440417E-04
4,22,18, 9.8311082E-04
4,22,19, 3.4883081E-03
4,22,20, 7.8509006E-03
4,22,21, 4.9082050E-03
4,22,22, 1.5179827E-02
4,23,3, 9.7259894E-12
4,23,4, 4.5144382E-11
4,23,5, 2.0919256E-10
4,23,6, 8.2961402E-10
4,23,7, 2.7548480E-09
4,23,8, 8.7379618E-09
4,23,9, 2.6894783E-08
4,23,10, 8.5281980E-08
4,23,11, 2.7001895E-07
4,23,12, 8.5392931E-07
4,23,13, 2.6993051E-06
4,23,14, 8.5613755E-06
4,23,15, 2.7127452E-05
4,23,16, 8.8744647E-05
4,23,17, 3.6726215E-04
4,23,18, 1.2004187E-03
4,23,19, 3.3000609E-03
4,23,20, 5.9321313E-03
4,23,21, 4.8899511E-03
4,23,22, 3.0965400E-03
4,23,23, 2.0296037E-02
4,24,3, 8.0420720E-12
4,24,4, 3.7444644E-11
4,24,5, 1.7380231E-10
4,24,6, 7.9226405E-10
4,24,7, 2.7681574E-09
4,24,8, 9.0750982E-09
4,24,9, 2.7815290E-08
4,24,10, 8.7870773E-08
4,24,11, 2.7765418E-07
4,24,12, 8.7793178E-07
4,24,13, 2.7783498E-06
4,24,14, 8.7852565E-06
4,24,15, 2.7805095E-05
4,24,16, 9.3967412E-05
4,24,17, 3.9290400E-04
4,24,18, 1.2832804E-03
4,24,19, 3.4207637E-03
4,24,20, 5.7078882E-03
4,24,21, 4.0735638E-03
4,24,22, 1.7389815E-03
4,24,23, 1.1942288E-03
4,24,24, 2.4179079E-02
4,25,4, 1.6998736E-11
4,25,5, 3.7735119E-11
4,25,6, 1.3056830E-10
4,25,7, 3.4788299E-10
4,25,8, 1.0290571E-09
4,25,9, 2.8474655E-09
4,25,10, 8.2531403E-09
4,25,11, 2.4601395E-08
4,25,12, 7.4669879E-08
4,25,13, 2.3072352E-07
4,25,14, 7.8402248E-07
4,25,15, 2.4844873E-06
4,25,16, 8.2981382E-06
4,25,17, 3.1630386E-05
4,25,18, 1.2441086E-04
4,25,19, 4.4908097E-04
4,25,20, 1.6129679E-03
4,25,21, 3.0588967E-03
4,25,22, 3.6878972E-03
4,25,23, 1.4016569E-03
4,25,24, 1.6639957E-03
4,25,25, 1.9175283E-02
5,1,1,-1.9175131E-08
5,2,1, 2.7927059E-08
5,2,2,-4.6018629E-08
5,3,2, 2.0582648E-08
5,3,3,-3.8588290E-08
